video_id	title	channel_url	date	views	notes
uM6IC-wwkDA	AI Is Coming for 1 Billion Jobs - Here’s What You Can Do To Help	https://www.youtube.com/@ActionModelAI/videos	NA	NA	Public playlist inventory; metadata not exposed in read-only run
i4xQW9SrSaY	How to do an ActionFi Task | Step-by-Step Tutorial	https://www.youtube.com/@ActionModelAI/videos	NA	NA	Public playlist inventory; metadata not exposed in read-only run
PF1EzyLjzzc	ActionFi | The New Incentive Platform for Web3	https://www.youtube.com/@ActionModelAI/videos	NA	NA	Public playlist inventory; metadata not exposed in read-only run
FgBmwxAKryw	Action Model Full Product Breakdown | Own the Future of AI	https://www.youtube.com/@ActionModelAI/videos	NA	NA	Public playlist inventory; metadata not exposed in read-only run
sP2-E_EfYyM	How Actionist Builder Works | Workflow Editor with No Code or APIs Needed	https://www.youtube.com/@ActionModelAI/videos	NA	NA	Public playlist inventory; metadata not exposed in read-only run
apWNum2NCQM	InfoFi is dead, what's next? Introducing ActionFi | Reward Real Users For Real Usage	https://www.youtube.com/@ActionModelAI/videos	NA	NA	Public playlist inventory; metadata not exposed in read-only run
VlySEtLzpUE	Introducing Actionist | Automate anything on your computer with NO CODE or APIs	https://www.youtube.com/@ActionModelAI/videos	NA	NA	Public playlist inventory; metadata not exposed in read-only run
CCxsZDt3StA	ActionFi System Explained: Earn Up to 100x While Training AI	https://www.youtube.com/@ActionModelAI/videos	NA	NA	Public playlist inventory; metadata not exposed in read-only run
Cqm3BVnJMB0	How Action Model Training Works: Custom vs. Background Training Explained	https://www.youtube.com/@ActionModelAI/videos	NA	NA	Public playlist inventory; metadata not exposed in read-only run
IVYSZYtF6yQ	Action Model Workflow Editor - No-Code AI Automation Tool (Sneak Peak)	https://www.youtube.com/@ActionModelAI/videos	NA	NA	Public playlist inventory; metadata not exposed in read-only run
_AaPxdmEl-8	Action Model Marketplace 101: Turn Your Automations Into Income	https://www.youtube.com/@ActionModelAI/videos	NA	NA	Public playlist inventory; metadata not exposed in read-only run
Eaoh7l9Kjns	The Action Model - Train it. Earn it. Own it.	https://www.youtube.com/@ActionModelAI/videos	NA	NA	Public playlist inventory; metadata not exposed in read-only run
